StartRelativeMSec,Number,Generation,Type,Reason,IsCompacting,SuspensionDurationInMilliSeconds,PauseDurationInMilliSeconds,FinalPauseDurationInMilliSeconds,Gen0Size,Gen1Size,Gen2Size,LOHSize,ObjGen0Before,ObjGen1Before,ObjGen2Before,ObjLOHBefore,ObjGen0After,ObjGen1After,ObjGen2After,ObjLOHAfter
12366.0678632524,45,0,NonConcurrentGC,AllocSmall,False,0.194005450386612,0.58748642964747,0,96,306304,62544,9356064,30800344,281504,61632,8924640,96,306304,0,0
12522.4435497017,46,0,NonConcurrentGC,AllocSmall,False,0.00619942228695436,0.287726128486611,0,96,330840,62544,9698112,27210208,306304,61632,9352440,96,330840,0,0
12693.4768584683,47,0,NonConcurrentGC,AllocSmall,False,0.0142222040703928,0.310700458137944,0,96,353560,62544,10381744,29252216,330840,61632,10121424,96,353560,0,0
12866.4680906618,48,0,NonConcurrentGC,AllocSmall,False,0.40259777673964,0.733719861234931,0,96,378760,62544,10982504,29487808,353560,61632,10893808,96,378760,0,0
13022.2344103675,50,0,NonConcurrentGC,AllocSmall,False,0,2.16833911277536,0,96,400656,62544,11324408,28238024,378760,61632,11321352,96,400656,0,0
13022.0367581981,49,2,BackgroundGC,AllocSmall,False,0.121071070543621,0.246518203875894,0.132375899418548,384,400656,62544,35432,0,0,0,0,0,0,0,0
13177.2965486357,51,1,NonConcurrentGC,AllocSmall,False,0.0102108131777641,0.367224602516217,0,96,19504,62544,463248,26211528,19424,61632,463120,96,19504,61632,463120
13337.8488223468,52,0,NonConcurrentGC,AllocSmall,False,1.81460737052839,2.08665260734961,0,96,42424,62544,975992,27092584,19504,61632,975864,96,42424,0,0
13478.5669561311,53,0,NonConcurrentGC,AllocSmall,False,2.18073795734927,2.56036140443939,0,96,67616,62544,1661088,24529952,42424,61632,1660960,96,67616,0,0
13630.6172691837,54,0,NonConcurrentGC,AllocSmall,False,0.43323021627657,0.792067365111507,0,96,89720,62544,2602888,26980464,67616,61632,2602760,96,89720,0,0
